weather_id,date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa
5001.0,2024-01-01 00:00:00,London,January,9.9816047538945,70.0,2.0804935070672723,15.14781789038869,5334.0,Storm,1000.9998864559271
5002.0,2024-01-01 01:00:00,London,January,33.02857225639664,90.0,3.236740221289937,28.899423523280838,6931.0,Clear,957.1641665371536
5003.0,2024-01-01 02:00:00,London,January,24.279757672456203,67.0,1.7553499059324253,68.96141729040134,8417.0,Rain,986.4017915926337
5004.0,2024-01-01 03:00:00,London,January,18.946339367881464,38.0,3.617305141425589,33.94705118370205,9294.0,Snow,952.6112348361588
5005.0,2024-01-01 04:00:00,London,January,1.2407456176974607,25.0,0.9038363796516247,73.25530800413101,9559.0,Storm,967.6808976629851
5006.0,2024-01-01 05:00:00,London,January,1.2397808134481059,46.0,19.018716659041868,39.8350442716485,7990.0,Storm,961.0367868689227
5007.0,2024-01-01 06:00:00,London,January,-2.6766555132720216,72.0,0.5710228517156314,31.90692918718046,9916.0,Snow,1030.0985003975875
5008.0,2024-01-01 07:00:00,London,January,29.647045830997406,67.0,13.437132176807502,60.03111416725613,383.0,Fog,984.6126152566154
5009.0,2024-01-01 08:00:00,London,January,19.04460046972835,26.0,12.242565689485836,5.854007901440168,9506.0,Rain,957.8846518271997
5010.0,2024-01-01 09:00:00,London,January,23.322903111841818,78.0,3.725998360792306,7.158270638593391,2995.0,Snow,976.548020453968
5011.0,2024-01-01 10:00:00,London,January,-4.176620228167902,,6.453289751511346,52.15789711383685,4830.0,Storm,1018.280808606991
5012.0,2024-01-01 11:00:00,London,January,33.79639408647977,30.0,2.8639333292705427,38.95525705913986,4706.0,Fog,1024.5635272172356
5013.0,2024-01-01 12:00:00,London,January,28.29770563201687,34.0,4.9717286526412705,63.233220025536816,2715.0,Snow,961.9865129849521
5014.0,2024-01-01 13:00:00,London,January,3.493564427131046,83.0,2.0819422869162634,73.30166698748252,7181.0,Rain,1027.8566439933934
5015.0,2024-01-01 14:00:00,London,January,2.2729986882840247,22.0,1.791660293730053,31.0693502137238,4985.0,Fog,987.0559158217078
5016.0,2024-01-01 15:00:00,London,January,2.3361803941373527,88.0,4.3164731511935415,47.7128021267717,465.0,Storm,1017.9382668935003
5017.0,2024-01-01 16:00:00,London,January,7.169689718381509,42.0,3.4470675388351624,40.05573022362479,757.0,Clear,1017.1507789296944
5018.0,2024-01-01 17:00:00,London,January,15.990257265289515,72.0,4.3319864677964475,78.52885245139463,7838.0,Rain,1029.359272107764
5019.0,2024-01-01 18:00:00,London,January,12.27780074568463,56.0,1.688989643823475,66.48675258852761,2734.0,Fog,1019.7182780309047
5020.0,2024-01-15T14:00Z,London,January,6.649165607921677,28.0,2.286091213269419,72.93901666218828,7544.0,Snow,953.88683566725
5021.0,2024-01-01 20:00:00,London,January,19.47411578889518,34.0,0.4381376190941361,20.347207006208336,3416.0,Snow,1001.9481110889549
5022.0,2024-01-01 21:00:00,London,January,0.5797544260816734,22.0,0.2684617558175829,61.80211385300755,3553.0,Fog,966.6181173470972
5023.0,2024-01-01 22:00:00,London,January,6.685785941408726,89.0,1.4615111760824908,21.237857999811915,4492.0,Snow,1046.996453749269
