traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
9001.0,2024-01-01 00:00:00,London,Southwark,1601.0,28.381484571766165,,High,Damaged,7886.0
9002.0,2024-01-01 01:00:00,London,Southwark,2474.0,81.26281708909934,0.0,Medium,Snowy,4530.0
9003.0,2024-01-01 02:00:00,London,Kensington,2459.0,24.71666993157664,,Medium,Snowy,7601.0
9004.0,,London,Camden,2820.0,70.07821527982237,1.0,Medium,Wet,4023.0
9005.0,2024-01-01 04:00:00,London,Islington,3087.0,67.79680184240175,0.0,High,Wet,6830.0
9006.0,2024-01-01 05:00:00,London,Camden,293.0,56.835437016058435,1.0,High,Dry,341.0
9007.0,2024-01-01 06:00:00,London,Islington,4329.0,28.153948614218425,0.0,High,Wet,5165.0
9008.0,2024-01-01 07:00:00,London,Camden,610.0,47.524615069566885,1.0,Low,Dry,
9009.0,2024-01-01 08:00:00,London,Kensington,429.0,65.95913027003712,0.0,Low,Damaged,8571.0
9010.0,2024-01-01 09:00:00,London,,4779.0,89.35518463524251,0.0,Low,Wet,3250.0
9011.0,2024-01-01 10:00:00,London,Kensington,,81.80696313548964,,Low,Snowy,4739.0
9012.0,2024-01-01 11:00:00,London,Islington,4727.0,64.66101892055069,1.0,Low,Wet,6143.0
9013.0,2024-01-01 12:00:00,London,Camden,3757.0,30.56238602232664,1.0,Medium,Damaged,7946.0
9014.0,2024-01-01 13:00:00,London,Southwark,2023.0,29.502942688464003,0.0,High,Damaged,2551.0
9015.0,2024-01-01 14:00:00,London,Camden,2252.0,83.24985367105151,0.0,High,Wet,8883.0
9016.0,2024-01-01 15:00:00,London,Camden,2294.0,69.79798912401063,0.0,Low,Dry,613.0
9017.0,2024-01-01 16:00:00,London,Chelsea,1856.0,42.22544681800207,1.0,Low,Dry,4658.0
9018.0,2024-01-01 17:00:00,London,Camden,1820.0,97.43331229484039,0.0,Low,Snowy,8781.0
9019.0,2024-01-01 18:00:00,London,Southwark,1025.0,90.07846997248126,1.0,High,Wet,279.0
9020.0,2024-01-01 19:00:00,London,Camden,830.0,70.43605287030678,0.0,Medium,Wet,8027.0
9021.0,2024-01-01 20:00:00,London,Chelsea,2640.0,43.23067425471386,1.0,High,Wet,483.0
9022.0,2024-01-01 21:00:00,London,Chelsea,4849.0,37.78809260758757,1.0,Low,Snowy,2671.0
9023.0,2024-01-01 22:00:00,London,Southwark,1393.0,94.54454300916372,,High,Snowy,4401.0
9024.0,2024-01-01 23:00:00,London,Camden,1910.0,49.91195399641431,0.0,Medium,Damaged,4245.0
9025.0,2024-01-02 00:00:00,London,Kensington,4497.0,82.0015439438921,0.0,Medium,Snowy,3451.0
,2024-01-02 01:00:00,London,Kensington,2311.0,94.57498713325033,0.0,Low,Snowy,8290.0
9027.0,2024-01-02 02:00:00,London,Chelsea,539.0,54.280602682698444,1.0,Low,Damaged,5049.0
9028.0,,London,Southwark,1105.0,68.77975649280788,0.0,Low,Wet,4558.0
9029.0,2024-01-02 04:00:00,London,Kensington,959.0,17.762980081323448,0.0,Medium,Snowy,2212.0
9030.0,2024-01-02 05:00:00,London,Chelsea,4972.0,68.73232728349092,2.0,Low,Snowy,727.0
9031.0,2024-01-02 06:00:00,London,Chelsea,4731.0,29.357517651401196,0.0,Medium,Dry,5630.0
,2024-01-02 07:00:00,London,Camden,3055.0,70.347273351213,1.0,Medium,Dry,4965.0
9033.0,2024-01-02 08:00:00,London,Southwark,2850.0,19.094099155402173,,Medium,Snowy,1056.0
